#Phase	Normalized r magnitude 	(error)
0.557511  0.210787 0.005740
0.571109  0.269134 0.005818
0.584713  0.307574 0.006248
0.597722  0.338349 0.008613
0.608602  0.362584 0.006436
0.622200  0.364979 0.006583
0.635553  0.410334 0.007328
0.647537  0.277506 0.007295
0.659780  0.373566 0.006488
0.672025  0.338813 0.006541
0.685193  0.308044 0.006088
0.697431  0.286902 0.006069
0.711039  0.253542 0.005642
0.724943  0.212150 0.006828
0.736369  0.174061 0.009044
0.743184  0.182600 0.022600
0.192483  0.275977 0.007750
0.206079  0.240531 0.007102
0.218322  0.205977 0.007496
0.231135  0.166118 0.006872
0.244013  0.142827 0.006238
0.256253  0.116135 0.006306
0.267786  0.121408 0.006427
0.281946  0.067651 0.005071
0.294192  0.053626 0.005805
0.306432  0.044580 0.005141
0.321316  0.018922 0.005334
0.332195  0.021129 0.005491
0.344436  0.006616 0.004242
0.357954  0.005021 0.004980
0.371464  0.003921 0.004262
0.383707 -0.005983 0.004713
0.394590 -0.001897 0.004920
0.408954  0.003150 0.004258
0.421184  0.018591 0.004980
0.433431  0.024454 0.004537
0.447273  0.034600 0.004991
0.460039  0.053884 0.004717
0.472278  0.074104 0.005711
0.483805  0.089620 0.005483
0.497949  0.104470 0.005079
0.510193  0.131632 0.005518
0.522439  0.152504 0.005236
0.537411  0.177816 0.006024
0.548290  0.201058 0.005879
0.560530  0.240036 0.005401
0.573885  0.282408 0.006308
0.587229  0.321220 0.005969
0.599479  0.343498 0.006746
0.610358  0.367207 0.007058
0.625263  0.391172 0.006369
0.637506  0.396018 0.006845
0.649743  0.397854 0.006114
0.664041  0.374543 0.006675
0.675596  0.343774 0.006255
0.687842  0.285390 0.005373
0.700643  0.281428 0.006200
0.714545  0.243420 0.005576
0.726784  0.206746 0.005682
0.739712  0.178798 0.005823
0.753767  0.152280 0.005394
0.764203  0.133086 0.006694
0.776888  0.118712 0.005067
0.790195  0.095380 0.006243
0.803493  0.066709 0.006616
0.811664  0.098200 0.021300
0.179008  0.335900 0.015700
0.187162  0.289733 0.007605
0.200759  0.271050 0.007557
0.213004  0.201013 0.008070
0.226454  0.189130 0.007899
0.238688  0.150190 0.006442
0.252295  0.117944 0.006097
0.264878  0.099114 0.007129
0.276603  0.077503 0.005211
0.290204  0.070190 0.005274
0.301092  0.040204 0.006771
0.314516  0.027169 0.005151
0.328122  0.020390 0.004946
0.340355 -0.001351 0.005057
0.353154  0.007143 0.005135
0.366029 -0.003724 0.004604
0.378272 -0.003449 0.005059
0.389792 -0.000194 0.004974
0.403936  0.002874 0.004189
0.417542  0.004507 0.004366
0.429782  0.023080 0.004739
0.442786  0.033608 0.004857
0.455023  0.048408 0.004372
0.467269  0.062114 0.005115
0.479210  0.071861 0.005197
0.492511  0.096848 0.004968
0.506112  0.125053 0.004852
0.518922  0.128647 0.005276
0.531475  0.168173 0.006193
0.543718  0.191442 0.005212
0.557324  0.235309 0.005185
0.570540  0.264712 0.006771
0.581414  0.304092 0.005577
0.595022  0.331668 0.005604
0.608370  0.369146 0.006303
0.620355  0.381599 0.006436
0.632604  0.397409 0.006559
0.644843  0.397186 0.007365
0.657848  0.377686 0.007116
0.670084  0.358452 0.005988
0.683694  0.324883 0.005497
0.697861  0.280793 0.005750
0.709383  0.257514 0.005609
0.721625  0.216055 0.004856
0.734429  0.180432 0.005810
0.746961  0.158095 0.005210
0.759207  0.145987 0.004727
0.772806  0.123045 0.004677
0.787266  0.088332 0.005227
0.798151  0.081771 0.005441
0.810390  0.067441 0.004789
0.823916  0.035105 0.005462
0.834719  0.022424 0.007304
0.212505  0.226800 0.017100
0.220651  0.182405 0.006843
0.234260  0.165858 0.006655
0.273547  0.084352 0.005879
0.284431  0.071455 0.005782
0.296378  0.055315 0.005707
0.309680  0.029154 0.004954
0.323282  0.020285 0.004685
0.334162  0.023223 0.006469
0.347591  0.007070 0.004304
0.361190  0.006702 0.004359
0.373434 -0.000245 0.004924
0.385908  0.008672 0.004747
0.398674 -0.000012 0.004313
0.412281 -0.002478 0.004332
0.425581  0.015254 0.005093
0.437519  0.023853 0.005341
0.449762  0.057338 0.005386
0.462011  0.060220 0.005176
0.475434  0.076507 0.005605
0.487676  0.095183 0.004891
0.497202  0.118135 0.008270
0.324005 -0.006330 0.012753
0.333514 -0.000888 0.006842
0.345762 -0.005807 0.007687
0.358791  0.005433 0.008503
0.371036 -0.016504 0.006845
0.384634 -0.012581 0.006580
0.397250 -0.018081 0.007403
0.409001 -0.004733 0.005906
0.422607 -0.003351 0.005729
0.432137  0.023604 0.008839
0.465620  0.053400 0.012100
0.473770  0.059901 0.005179
0.487325  0.082602 0.007359
0.498207  0.093459 0.005324
0.511807  0.127067 0.005574
0.525110  0.153679 0.006564
0.537046  0.179224 0.006724
0.549296  0.209080 0.006061
0.561540  0.231922 0.007031
0.574989  0.279956 0.007662
0.587228  0.321299 0.006816
0.600827  0.352912 0.007136
0.614672  0.378153 0.007874
0.626078  0.380921 0.007461
0.638317  0.391210 0.006437
0.651257  0.376816 0.007467
0.664199  0.350410 0.006860
0.676440  0.331537 0.005980
0.690039  0.296828 0.005832
0.703481  0.273746 0.007510
0.714359  0.231069 0.005316
0.727956  0.213678 0.005732
0.741360  0.196078 0.006450
0.753389  0.152395 0.005744
0.765635  0.124499 0.004729
0.777872  0.104547 0.005441
0.791516  0.084030 0.005042
0.803752  0.072202 0.004723
0.817353  0.063547 0.004859
0.829940  0.049191 0.006155
0.841663  0.029037 0.004543
0.855258  0.030726 0.004354
0.866147  0.011927 0.005791
